Priority Score,Department,Sub-Department,Service Request,Service Request Level,Resolution Time (Minutes)
6,Forex,Foreign Investments & NRI Banking,Cash Currency Exchange,2,3.0
10,Forex,Foreign Investments & NRI Banking,Savings Account,1,3.0
10,Forex,Microfinance & Agricultural Loans,SWIFT Transfer,1,58.6
4,Credit,Currency Exchange,Current Account,1,3.0
10,Forex,Corporate Loans,Letter of Credit,2,36.2
3,General Banking,International Transactions,Education Loan,3,3.0
10,General Banking,Foreign Investments & NRI Banking,Bank Guarantee,2,3.0
1,Credit,KYC & Documentation,Savings Account,2,3.0
7,Credit,Banking Tech & Digital Services,SWIFT Transfer,3,47.2
7,Forex,Foreign Investments & NRI Banking,Credit Limit Increase,3,3.0
5,Credit,Foreign Investments & NRI Banking,Loan Against Property,2,3.0
10,Credit,International Transactions,Net Banking Login Issue,2,3.0
10,Credit,KYC & Documentation,Personal Loan,3,3.0
4,General Banking,Corporate Loans,Home Loan,1,50.4
10,Forex,Currency Exchange,NRE/NRO Account Opening,1,20.2
9,General Banking,Foreign Investments & NRI Banking,SWIFT Transfer,1,3.0
9,General Banking,Cards & Banking Services,Cash Currency Exchange,3,27.6
5,General Banking,Foreign Investments & NRI Banking,Lost/Stolen Card,2,98.8
10,General Banking,Microfinance & Agricultural Loans,Savings Account,3,61.9
10,General Banking,Accounts & Deposits,Current Account,2,3.0
7,Credit,Cards & Banking Services,Current Account,1,34.9
4,General Banking,Mortgage & Secured Loans,Letter of Credit,2,3.0
10,General Banking,Corporate Loans,Loan Against Property,3,10.4
9,Forex,International Transactions,Personal Loan,1,26.1
5,Forex,Mortgage & Secured Loans,Recurring Deposit,3,3.0
4,Credit,Mortgage & Secured Loans,Foreign Exchange Rates Inquiry,3,7.7
10,Credit,KYC & Documentation,Reward Points Inquiry,1,3.1
6,Credit,Transactions & Payments,Net Banking Login Issue,2,3.0
10,Credit,Mortgage & Secured Loans,Home Loan,1,3.0
7,Forex,Accounts & Deposits,Home Loan,3,3.0
10,Credit,Credit Cards,Reward Points Inquiry,3,3.4
3,General Banking,Accounts & Deposits,Car Loan,1,37.3
4,General Banking,International Transactions,Fixed Deposit,2,3.0
10,Forex,Corporate Loans,Education Loan,2,3.0
4,Credit,Accounts & Deposits,Car Loan,2,3.0
