Priority Score,Department,Sub-Department,Category,Service Level,Resolution Time (mins)
6,Forex,International Transactions,Letter of Credit,2,60
7,Forex,International Transactions,Education Loan,3,11
8,General Banking,Retail Loans,Cash Currency Exchange,1,3
10,Forex,Accounts & Deposits,Foreign Exchange Rates Inquiry,1,86
6,Forex,KYC & Documentation,Loan Against Property,2,4
1,General Banking,Foreign Investments & NRI Banking,Credit Limit Increase,3,15
7,Forex,Credit Cards,Fixed Deposit,1,11
5,Forex,Transactions & Payments,Mobile Banking Issue,2,20
8,Credit,Banking Tech & Digital Services,Car Loan,1,3
10,General Banking,Corporate Loans,Home Loan,1,86
10,General Banking,Retail Loans,Loan Against Property,1,44
8,Forex,Retail Loans,Education Loan,2,7
4,General Banking,Corporate Loans,Debit Card Activation,3,3
4,Forex,Foreign Investments & NRI Banking,Fixed Deposit,1,22
10,Credit,Foreign Investments & NRI Banking,Foreign Exchange Rates Inquiry,3,30
5,Credit,Credit Cards,Letter of Credit,1,10
10,Credit,Microfinance & Agricultural Loans,Letter of Credit,1,3
5,Forex,International Transactions,Letter of Credit,2,67
5,Forex,Retail Loans,Cash Currency Exchange,2,65
1,General Banking,Corporate Loans,Letter of Credit,1,3
3,General Banking,Accounts & Deposits,Debit Card Activation,1,11
8,Forex,Trade Finance,Education Loan,1,17
9,Credit,Trade Finance,NRE/NRO Account Opening,1,3
3,Credit,Transactions & Payments,Home Loan,1,15
9,Forex,Retail Loans,Net Banking Login Issue,1,12
9,Forex,International Transactions,NRE/NRO Account Opening,1,31
5,Forex,Credit Cards,Debit Card Activation,3,30
10,Credit,Retail Loans,Loan Against Property,2,64
2,Credit,Microfinance & Agricultural Loans,Working Capital Loan,1,10
5,General Banking,Credit Cards,Cash Currency Exchange,2,9
9,Forex,Credit Cards,Savings Account,3,3
4,Forex,Accounts & Deposits,Letter of Credit,1,17
10,Credit,Retail Loans,Working Capital Loan,2,3
9,Forex,Foreign Investments & NRI Banking,Personal Loan,2,31
9,Credit,Credit Cards,NRE/NRO Account Opening,2,3
10,General Banking,Credit Cards,Repatriation of Funds,3,70
7,Credit,KYC & Documentation,Mobile Banking Issue,2,12
6,Forex,Accounts & Deposits,NRE/NRO Account Opening,3,8
5,Credit,Microfinance & Agricultural Loans,Cash Currency Exchange,1,4
7,Forex,International Transactions,Education Loan,1,4
10,Forex,Foreign Investments & NRI Banking,Reward Points Inquiry,1,7
6,Credit,Trade Finance,Education Loan,1,11
7,General Banking,Microfinance & Agricultural Loans,SWIFT Transfer,1,33
7,General Banking,Mortgage & Secured Loans,NRE/NRO Account Opening,1,66
3,General Banking,Retail Loans,Mobile Banking Issue,1,58
4,Credit,Credit Cards,Letter of Credit,1,29
6,Credit,Transactions & Payments,Fixed Deposit,3,11
10,General Banking,International Transactions,NRE/NRO Account Opening,3,45
7,Forex,Transactions & Payments,Letter of Credit,1,45
8,Credit,Microfinance & Agricultural Loans,Mobile Banking Issue,3,3
5,Credit,Credit Cards,Debit Card Activation,1,17
4,Forex,Transactions & Payments,Foreign Exchange Rates Inquiry,3,81
10,Credit,Microfinance & Agricultural Loans,Education Loan,3,26
6,General Banking,International Transactions,Foreign Exchange Rates Inquiry,2,5
4,Credit,Transactions & Payments,Letter of Credit,3,86
8,Forex,International Transactions,Working Capital Loan,1,86
6,Forex,Trade Finance,Bank Guarantee,3,22
10,Forex,Currency Exchange,NRE/NRO Account Opening,1,43
10,General Banking,Banking Tech & Digital Services,Car Loan,3,86
6,Credit,Retail Loans,SWIFT Transfer,1,24
6,General Banking,Banking Tech & Digital Services,Debit Card Activation,1,86
8,Forex,International Transactions,SWIFT Transfer,2,30
5,General Banking,Foreign Investments & NRI Banking,Fixed Deposit,1,33
4,Credit,KYC & Documentation,Working Capital Loan,1,3
7,Credit,Foreign Investments & NRI Banking,Cash Currency Exchange,1,4
7,General Banking,Foreign Investments & NRI Banking,Repatriation of Funds,1,10
6,Forex,KYC & Documentation,Fixed Deposit,1,25
4,General Banking,Retail Loans,NRE/NRO Account Opening,2,23
3,Forex,Retail Loans,Lost/Stolen Card,1,16
4,Forex,Banking Tech & Digital Services,Education Loan,1,24
1,Credit,Trade Finance,Letter of Credit,1,25
1,Forex,International Transactions,Car Loan,1,3
10,Credit,International Transactions,SWIFT Transfer,1,86
6,Credit,Trade Finance,Repatriation of Funds,2,86
9,Credit,KYC & Documentation,Letter of Credit,1,13
5,Credit,Trade Finance,Personal Loan,3,30
2,Forex,Credit Cards,Education Loan,3,86
5,Credit,Trade Finance,Letter of Credit,2,24
4,Credit,Credit Cards,Education Loan,1,29
6,Credit,Accounts & Deposits,Foreign Exchange Rates Inquiry,1,86
6,Forex,Trade Finance,Education Loan,1,21
8,Credit,Accounts & Deposits,Cash Currency Exchange,3,21
9,General Banking,Trade Finance,NRE/NRO Account Opening,1,35
8,General Banking,International Transactions,Working Capital Loan,3,9
10,Forex,Banking Tech & Digital Services,NRE/NRO Account Opening,3,86
4,Forex,Transactions & Payments,Cash Currency Exchange,1,48
7,Credit,Transactions & Payments,SWIFT Transfer,1,3
9,Forex,Credit Cards,Foreign Exchange Rates Inquiry,1,51
6,General Banking,Trade Finance,SWIFT Transfer,1,12
4,Credit,Currency Exchange,Repatriation of Funds,2,3
5,Credit,Retail Loans,Foreign Exchange Rates Inquiry,3,86
9,General Banking,Foreign Investments & NRI Banking,Debit Card Activation,1,46
1,Credit,Trade Finance,Mobile Banking Issue,2,86
7,Credit,KYC & Documentation,Education Loan,3,3
10,Forex,Currency Exchange,Bank Guarantee,2,73
7,General Banking,Trade Finance,Foreign Exchange Rates Inquiry,1,13
4,Forex,Banking Tech & Digital Services,SWIFT Transfer,2,52
7,Credit,Credit Cards,Working Capital Loan,2,20
6,Forex,Trade Finance,Cash Currency Exchange,2,6
10,Credit,Microfinance & Agricultural Loans,Cash Currency Exchange,3,19
1,Credit,International Transactions,Foreign Exchange Rates Inquiry,3,23
10,General Banking,Accounts & Deposits,Credit Limit Increase,1,3
5,General Banking,Credit Cards,Letter of Credit,1,3
4,Credit,International Transactions,Foreign Exchange Rates Inquiry,1,18
10,Forex,Foreign Investments & NRI Banking,Reward Points Inquiry,1,17
6,Forex,KYC & Documentation,NEFT/RTGS/IMPS Issue,1,18
10,Credit,Corporate Loans,Foreign Exchange Rates Inquiry,1,3
1,Forex,Foreign Investments & NRI Banking,Letter of Credit,2,86
4,Credit,Foreign Investments & NRI Banking,Car Loan,1,10
10,General Banking,Credit Cards,SWIFT Transfer,1,86
10,Credit,International Transactions,Letter of Credit,1,51
7,General Banking,Trade Finance,Cash Currency Exchange,3,13
4,Forex,KYC & Documentation,Mobile Banking Issue,1,11
